          Chi2  &     Mean &Sigma Mean&   Error  & Sigma Error  
 13.3059 &   0.0001 &   0.0028 &   0.0024 &   0.0000 \\ 
 13.3059 &   0.0001 &   0.0024 &   0.0024 &   0.0000 \\ 
 13.3059 &   0.0000 &   0.0024 &   0.0024 &   0.0000 \\ 
 12.1810 &  -0.0000 &   0.0036 &   0.0039 &   0.0000 \\ 
 12.1810 &   0.0002 &   0.0037 &   0.0039 &   0.0000 \\ 
 12.1810 &  -0.0000 &   0.0035 &   0.0039 &   0.0000 \\ 
 12.1810 &  -0.0001 &   0.0037 &   0.0039 &   0.0000 \\ 
Bin Number:.............................    19 
 14.9600 &   0.0000 &   0.0025 &   0.0024 &   0.0000 \\ 
 14.9600 &  -0.0002 &   0.0023 &   0.0024 &   0.0000 \\ 
 14.9600 &  -0.0003 &   0.0024 &   0.0024 &   0.0000 \\ 
 14.9600 &   0.0003 &   0.0022 &   0.0024 &   0.0000 \\ 
 13.3633 &   0.0000 &   0.0023 &   0.0024 &   0.0000 \\ 
 13.3633 &  -0.0004 &   0.0023 &   0.0024 &   0.0000 \\ 
 13.3633 &  -0.0001 &   0.0022 &   0.0024 &   0.0000 \\ 
 13.3633 &   0.0003 &   0.0023 &   0.0024 &   0.0000 \\ 
 13.8424 &  -0.0002 &   0.0038 &   0.0039 &   0.0000 \\ 
 13.8424 &  -0.0002 &   0.0034 &   0.0039 &   0.0000 \\ 
 13.8424 &  -0.0002 &   0.0034 &   0.0039 &   0.0000 \\ 
 13.8424 &   0.0003 &   0.0038 &   0.0039 &   0.0000 \\ 
Bin Number:.............................    20 
 13.9099 &  -0.0001 &   0.0024 &   0.0023 &   0.0000 \\ 
 13.9099 &  -0.0001 &   0.0024 &   0.0023 &   0.0000 \\ 
 13.9099 &  -0.0001 &   0.0019 &   0.0023 &   0.0000 \\ 
 13.9099 &   0.0001 &   0.0019 &   0.0023 &   0.0000 \\ 
 14.7825 &  -0.0007 &   0.0024 &   0.0024 &   0.0000 \\ 
 14.7825 &  -0.0000 &   0.0023 &   0.0024 &   0.0000 \\ 
 14.7825 &   0.0000 &   0.0022 &   0.0024 &   0.0000 \\ 
 14.7825 &  -0.0002 &   0.0023 &   0.0024 &   0.0000 \\ 
 15.0120 &   0.0002 &   0.0039 &   0.0039 &   0.0000 \\ 
 15.0120 &  -0.0008 &   0.0038 &   0.0039 &   0.0000 \\ 
 15.0120 &  -0.0002 &   0.0042 &   0.0039 &   0.0000 \\ 
 15.0120 &   0.0006 &   0.0039 &   0.0039 &   0.0000 \\ 
Bin Number:.............................    21 
 16.0535 &   0.0005 &   0.0021 &   0.0023 &   0.0000 \\ 
 16.0535 &  -0.0003 &   0.0021 &   0.0023 &   0.0000 \\ 
